PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
NH0708040,POWWOW JUNCTION,Region 1,New Hampshire,Non-Transient non-community system,State,Ground water,Active,-,63,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,05-OCT-2017
LA1103062,GIVING HOPE RETREAT,Region 6,Louisiana,Community water system,State,Ground water,Active,-,45,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
PA7360156,MOUNTAINTOP MOBILEHOME PARK,Region 3,Pennsylvania,Community water system,State,Ground water,Active,-,115,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Returned to Compliance,14-AUG-2017,SOX,State Compliance achieved,-,-,3,18-AUG-2017
PA7360119,TERRE HILL BOROUGH,Region 3,Pennsylvania,Community water system,State,Ground water,Active,-,1295,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Returned to Compliance,08-AUG-2017,SOX,State Compliance achieved,-,-,3,18-AUG-2017
TX0200277,MALLARD LAKE CLUB,Region 6,Texas,Community water system,State,Ground water,Active,-,80,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
PA7671300,MANHEIM ELEM SCH,Region 3,Pennsylvania,Non-Transient non-community system,State,Ground water,Active,-,270,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,18-AUG-2017
TX1520305,LIL HADENS TOO,Region 6,Texas,Non-Transient non-community system,State,Ground water,Active,-,50,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1520039,PECAN GROVE MOBILE HOME PARK,Region 6,Texas,Community water system,State,Ground water,Active,-,108,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1013513,SPRING CREEK ATHLETICS,Region 6,Texas,Non-Transient non-community system,State,Ground water,Active,-,110,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1700800,GRACE CHAPEL ASSEMBLY OF GOD,Region 6,Texas,Non-Transient non-community system,State,Ground water,Active,-,108,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX0040060,GOOD SAMARITAN PARK,Region 6,Texas,Community water system,State,Ground water,Active,-,48,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1660008,GAUSE WSC,Region 6,Texas,Community water system,State,Ground water,Active,-,1083,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIF,State Public Notification received,-,-,3,25-SEP-2017
TX1013566,MUSE BROTHERS PROPERTIES,Region 6,Texas,Non-Transient non-community system,State,Ground water,Active,-,25,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX2490004,CITY OF CHICO,Region 6,Texas,Community water system,State,Surface water purchased,Active,-,1503,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX2120107,THE RESERVE,Region 6,Texas,Community water system,State,Ground water,Active,-,51,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1070144,CEDARVIEW ESTATES,Region 6,Texas,Community water system,State,Surface water purchased,Active,-,192,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1070207,POINT LA VISTA,Region 6,Texas,Community water system,State,Ground water,Active,-,624,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX0010004,FRANKSTON RURAL WSC,Region 6,Texas,Community water system,State,Ground water,Active,-,1605,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1100011,WHITHARRAL WSC,Region 6,Texas,Community water system,State,Ground water,Active,-,125,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX2030006,LAKEWOOD WATER SYSTEM,Region 6,Texas,Community water system,State,Ground water,Active,-,52,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX2260004,TOM GREEN COUNTY FWSD 2 CHRISTOVAL,Region 6,Texas,Community water system,State,Groundwater under influence of surface water,Active,-,699,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1012957,PONDEROSA MOBILE HOME PARK,Region 6,Texas,Community water system,State,Ground water,Active,-,84,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX0810017,TURLINGTON WSC,Region 6,Texas,Community water system,State,Ground water,Active,-,309,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,25-SEP-2017
TX0840187,K & B WATERWORKS,Region 6,Texas,Community water system,State,Ground water,Active,-,105,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
LA2045077,CB&I WATER SYSTEM,Region 6,Louisiana,Non-Transient non-community system,State,Ground water,Active,-,115,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX0570044,DANIELDALE COMMUNITY WATER SERVICE,Region 6,Texas,Community water system,State,Surface water purchased,Active,-,624,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX0390002,CITY OF PETROLIA,Region 6,Texas,Community water system,State,Surface water,Active,-,779,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX2320018,WINDMILL WSC,Region 6,Texas,Community water system,State,Ground water,Active,-,1833,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIF,State Public Notification received,-,-,3,25-SEP-2017
CO0144621,PRAIRIE VIEW RANCH WD,Region 8,Colorado,Community water system,State,Ground water,Active,-,27,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,15-AUG-2017
TX1070027,CITY OF MURCHISON,Region 6,Texas,Community water system,State,Ground water,Active,-,875,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,25-SEP-2017
LA1103175,S AND J RV PARK,Region 6,Louisiana,Community water system,State,Ground water,Active,-,87,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
PA3130037,MID LAKES DEVELOPMENT,Region 3,Pennsylvania,Community water system,State,Ground water,Active,-,490,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,18-AUG-2017
TX0610272,DENTON COUNTY FWSD 11-C,Region 6,Texas,Community water system,State,Surface water purchased,Active,-,796,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1520269,CABAZOS HOMES,Region 6,Texas,Community water system,State,Ground water,Active,-,34,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
MT0004903,KETTLEHOUSE BREWING,Region 8,Montana,Non-Transient non-community system,State,Ground water,Active,-,76,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,29-SEP-2017
TX0200278,BRAZOS RIVER CLUB,Region 6,Texas,Community water system,State,Ground water,Active,-,111,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
TX1840187,LITTLE TEXAS STAR DAYCARE,Region 6,Texas,Non-Transient non-community system,State,Surface water purchased,Active,-,37,Lead and Copper Rule,51,Initial Tap Sampling for Pb and Cu,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,25-SEP-2017
TX1800001,VEGA MUNICIPAL WATER SYSTEM,Region 6,Texas,Community water system,State,Ground water,Active,-,885,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,25-SEP-2017
TX1500003,BUCHANAN LAKE VILLAGE,Region 6,Texas,Community water system,State,Ground water,Active,-,425,Lead and Copper Rule,57,OCCT/SOWT Study/Recommendation,TT,Y,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,2,25-SEP-2017
TX1500003,BUCHANAN LAKE VILLAGE,Region 6,Texas,Community water system,State,Ground water,Active,-,425,Lead and Copper Rule,56,"Initial, Follow-up, or Routine Source Water M/R",MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
NC0195127,PEBBLE CREEK APARTMENTS,Region 4,North Carolina,Community water system,State,Ground water,Active,-,52,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Returned to Compliance,22-AUG-2017,SOX,State Compliance achieved,-,-,3,29-SEP-2017
TX0570098,MATTHEW ROAD WSC,Region 6,Texas,Community water system,State,Ground water,Active,-,279,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIE,State Public Notification requested,-,-,3,25-SEP-2017
PA1150065,ECHO VALLEY MHP,Region 3,Pennsylvania,Community water system,State,Ground water,Active,-,60,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-JUL-2017,-,Open,-,SIA,State Violation/Reminder Notice,-,-,3,18-AUG-2017
